회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치(백만원),총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,부실판단,도입기,성숙기,성장기,쇠퇴기
(주)수성로지스틱스,97454,2022,7.98,13.18,5.38,1.22,172.96,172.96,207.03,80.4,40.82,19.11,20.29,45.29,32.57,12.84,4.86,0.89,7.93,6.98,1.4,0.1,-86.46,29.662068820276904,29.66,-24.37,217.43,-18.87,246.62,1472.33,12.52,23.54,2.84,31.38,47.27,4.403806434934641,16.01,8.37,12.85,5.44,4.97,12.24,8.37,4.0,0.0,1,0,0,0
(주)스노우라인,81327,2022,-10.85,-15.27,-6.8,-6.78,143.57,52.6,167.44,119.94,44.51,19.54,4.13,64.39,37.39,4.37,1.83,1.61,3.13,3.11,2.82,1.2,-12.11,22.640426160548007,22.64,22.5,22.89,2.09,28.88,5693.07,15.36,55.23,15.33,10.52,52.87,1.002051962762361,9.97,4.36,3.8,1.14,1.1,3.1,1.71,17.0,0.0,1,0,0,0
(주)스미코,82392,2019,29.36,32.79,24.81,38.08,91.73,52.58,544.87,371.35,75.66,-4.76,0.65,52.82,15.51,7.89,1.2,1.81,5.12,4.57,6.88,3.47,-70.6,3.94921178812964,3.95,14.62,-5.86,-48.83,-5.78,1345.73,14.06,31.35,21.59,8.37,56.88,0.6514790119960562,8.43,2.57,1.41,0.67,0.66,1.34,1.32,12.0,0.0,1,0,0,0
(주)스카우트,93535,2022,22.98,97.47,9.48,2.97,147.87,147.87,70.16,64.17,9.72,18.05,52.89,55.77,58.77,9.64,8.05,1.69,5.95,5.85,1.69,0.27,-9.259999999999998,17.91547537715803,17.92,31.65,4.21,16.98,35.79,18825.49,229.48,2992.94,71.94,2.35,18.94,3.1900200085475774,12.1,6.5,34.16,4.76,3.45,7.36,6.5,26.0,0.0,1,0,0,0
(주)스타링크,62239,2017,-38.1,-52.4,-22.09,-71.69,52.05,52.05,137.97,59.49,42.16,-11.99,1.06,13.01,42.02,0.53,0.49,0.72,1.2,0.87,2.82,5.26,-55.61,0.3274681534851194,0.33,-3.2,0.88,18.24,-5.97,2854.51,14.27,58.56,46.31,1.55,43.8,0.3081224584951692,9.96,2.33,1.23,0.68,0.31,0.36,2.33,14.0,0.0,1,0,0,0
(주)승우,73143,2017,-0.36,-0.51,-0.19,-0.25,66.03,66.03,118.64,88.73,37.49,-13.79,0.09,26.8,45.74,-12.94,-10.57,-8.27,-8.42,-10.22,-13.58,-1.45,-11.81,-8.464695294098682,-8.46,-12.87,-6.74,-14.1,-7.25,1311.6,11.79,39.73,14.96,-55.29,-12.38,0.7875728559440197,9.9,2.74,2.56,1.28,0.75,1.04,2.74,20.0,0.0,1,0,0,0
(주)시벨코코리아,11886,2022,-22.83,-68.9,-9.31,-5.88,270.47,146.24,68.79,45.86,13.51,46.32,46.09,73.49,59.25,-5.12,-2.99,-1.97,-3.07,-3.1,-2.04,0.02,5.79,-7.610388544576395,-7.61,-7.35,-8.33,-7.74,-8.39,2419.19,9.95,38.22,6.29,-31.28,2.4,1.5820731855162726,5.52,4.03,5.8,1.52,1.52,5.71,2.07,27.0,0.0,1,0,0,0
(주)시티주택건설,67901,2022,-11.75,-13.65,-2.58,-6.94,93.78,88.49,28.17,28.17,18.93,-1.37,9.79,20.61,78.02,6.93,5.79,14.03,7.98,7.68,18.65,0.23,-19.17,23.61315898222789,23.61,-74.43,-1.26,-60.51,0.0,12104.34,8.34,1389412.5535498627,22.39,62.68,91.42,0.3724612892903262,2.38,0.85,14114.97284024282,0.41,0.41,128.72,0.74,12.0,0.0,1,0,0,0
(주)신라스틸판넬,71208,2022,-15.02,-17.42,-12.07,-14.66,89.03,72.58,409.48,374.08,69.29,-8.06,7.13,65.37,19.63,16.49,3.24,3.63,3.67,3.66,4.12,1.33,1.5299999999999976,16.799036108050853,16.8,29.92,-1.9,16.55,-2.5,2215.47,8.18,24.13,9.93,36.56,72.88,0.8237749310464986,2.04,1.8,2.4,0.89,0.89,2.36,1.42,16.0,0.0,1,0,0,0
(주)신라종합건설,89569,2022,12.52,584.82,1.85,1.57,568.3,568.3,17.33,13.03,0.32,52.01,85.78,63.12,85.23,18.42,17.34,12.21,17.68,17.49,15.15,-0.16,17.580000000000002,-3.752435583714401,-3.75,-13.77,20.15,114.49,46.43,4365.45,23.02,162.03,19.55,62.45,79.42,1.1773988989900774,2.76,1.73,9.85,1.42,1.15,3.48,1.73,25.0,0.0,1,0,0,0
(주)신비오켐,61072,2022,-19.58,-24.81,-5.84,-17.45,169.34,168.42,42.51,36.0,23.54,17.52,0.44,42.78,70.17,10.82,14.4,21.51,13.07,13.07,37.1,2.29,-20.29,11.05487447275075,11.05,37.92,-3.06,5.52,-4.08,4130.98,14.85,120.34,44.35,48.5,87.54,0.3347184625421579,21.24,0.91,2.66,0.67,0.35,0.58,0.91,17.0,0.0,1,0,0,0
(주)신성에프에이,94887,2022,18.54,28.73,12.71,19.75,115.86,115.86,217.78,186.2,44.23,9.29,4.81,67.88,31.47,8.41,2.72,3.95,3.9,2.3,3.39,-1.13,-12.21,10.977627129424484,10.98,10.93,11.09,5.6,-1.26,1520.82,5.19,18.78,8.06,48.94,61.15,0.643531029649279,3.56,1.0,2.31,0.69,0.68,2.11,1.0,29.0,0.0,1,0,0,0
(주)신성이엔티,90678,2022,-8.16,-9.14,-6.2,-10.63,59.89,34.92,316.62,181.39,67.89,-17.46,4.49,26.08,24.0,-3.72,-0.99,-1.56,2.31,2.29,3.66,3.3,11.56,16.12881098756162,16.13,105.95,0.65,82.23,0.99,1782.16,6.05,8.48,10.37,-15.08,59.93,0.5833083997577471,7.59,5.33,0.82,0.64,0.63,0.79,3.01,34.0,0.0,1,0,0,0
(주)신성정공,71280,2019,-4.76,-6.91,-3.62,-5.63,98.08,61.43,317.08,164.25,52.4,-0.76,10.89,38.63,23.98,4.52,1.18,1.65,1.5,1.45,2.04,1.92,-1.4800000000000004,25.34064142313024,25.34,24.17,26.09,19.57,29.6,1315.84,6.37,11.03,9.92,16.66,85.73,0.6421310049721087,3.57,2.65,1.26,0.72,0.71,1.17,1.84,14.0,0.0,1,0,0,0
(주)신성테크놀로지,88965,2022,4.29,5.06,3.14,5.7,49.71,44.61,273.56,237.03,62.01,-31.91,7.8,31.54,26.77,0.71,0.21,0.34,4.33,4.32,7.74,5.22,-110.66,2.737274915507955,2.74,-6.78,7.81,-41.79,9.79,1218.98,10.61,18.89,19.26,1.78,61.17,0.5508868282384555,2.83,1.79,1.03,0.62,0.56,0.83,1.69,12.0,0.0,1,0,0,0
(주)신세대,77922,2022,2.71,3.2,2.08,2.11,66.59,30.34,327.1,278.7,64.95,-21.8,2.88,43.45,23.41,1.33,0.34,0.31,2.82,2.65,2.69,2.42,-1.2599999999999998,0.3185320266031619,0.32,-2.49,2.59,-1.96,-1.58,1647.82,12.64,29.33,12.86,2.44,63.29,0.9827320398921964,7.98,4.38,2.05,1.08,0.98,1.76,2.23,27.0,0.0,1,0,0,0
(주)신시컴퍼니,44816,2022,-10.58,-16.16,-8.7,-3.33,94.57,34.05,461.42,461.42,53.83,-4.46,13.42,77.73,17.81,168.83,17.67,6.23,20.32,20.29,7.27,0.84,168.83,14.359527236000178,14.36,16.23,8.28,15.54,-2.57,3134.37,34.57,201.32,13.22,47.17,61.81,2.61574527224897,24.15,10.17,15.03,2.83,2.79,12.21,3.62,24.0,0.0,1,0,0,0
(주)신신사,49458,2022,4.68,8.49,3.33,3.65,100.88,99.26,245.68,192.86,39.21,0.49,1.24,56.29,28.93,5.39,2.03,1.66,2.03,1.82,1.75,0.87,-21.78,23.71517676791334,34.41,79.39,1.61,20.78,5.56,8912.15,8.03,27.19,8.82,18.88,57.48,1.0713969130714591,3.22,2.15,3.04,1.22,1.04,2.1,2.08,35.0,0.0,1,0,0,0
(주)신영피에스,85311,2022,0.28,0.39,0.27,0.26,65.1,51.58,1618.58,375.69,68.11,-7.63,16.53,14.23,5.82,16.82,0.9,0.87,2.66,2.65,2.58,1.36,-8.620000000000001,-2.6470023607394144,-2.65,-27.01,3.06,88.12,2.85,1234.96,9.16,10.79,8.81,9.85,62.38,1.0400109294587714,13.16,7.33,1.24,1.03,1.03,1.23,6.17,7.0,0.0,1,0,0,0
(주)신우,60720,2022,1.58,1.84,1.25,1.7,21.08,14.24,378.22,238.65,67.88,-39.39,0.7,10.52,20.91,-47.14,-20.27,-17.52,-10.77,-10.77,-15.17,2.67,-58.89,-6.904425311925408,-6.9,-34.1,-2.16,-9.64,-0.81,-122.19,-0.49,-0.85,-0.66,0.0,0.0,0.7363362475204643,10.49,8.38,1.0,1.16,0.71,0.81,5.56,31.0,0.0,1,0,0,0
(주)신정금속,58925,2019,-2.25,-3.16,-1.85,-3.37,26.83,20.5,468.16,444.7,58.74,-57.27,0.17,21.0,17.6,7.0,1.23,2.16,3.03,3.03,5.38,3.24,5.45,4.813244276188819,4.81,27.54,0.07,6.69,-0.4,848.11,8.43,10.86,15.32,14.13,44.51,0.550314036296921,4.1,4.05,0.71,0.57,0.56,0.7,2.94,28.0,0.0,1,0,0,0
(주)신진스틸,50401,2022,-1.92,-2.4,-1.26,-1.02,99.45,84.86,191.73,146.91,52.63,-0.28,0.59,50.08,34.28,5.36,2.24,1.47,2.4,2.26,1.79,1.48,-20.38,3.215736993042224,3.22,-0.75,7.53,6.84,6.69,3616.18,8.04,25.35,6.48,22.62,70.45,1.2409058095047605,5.04,2.89,4.04,1.53,1.26,2.58,2.47,29.0,0.0,1,0,0,0
(주)신창산업,85357,2022,11.59,25.29,4.02,6.65,273.91,262.48,53.18,48.82,15.91,55.43,0.87,87.3,65.28,4.35,2.89,4.59,4.52,3.11,5.04,-1.21,-25.78,4.407835291285233,4.41,6.78,-9.44,-13.74,-5.17,1381.97,7.0,68.55,11.57,39.7,65.2,0.6048162542832478,2.64,0.73,5.77,0.63,0.62,4.53,0.72,16.0,0.0,1,0,0,0
(주)신풍,46785,2014,2.73,4.42,2.52,2.36,53.17,30.64,1225.65,956.17,57.01,-33.78,7.43,38.35,7.54,-110.34,-19.53,-17.39,-16.71,-16.71,-14.89,2.85,-115.63,10.81578565450529,10.82,68.77,-8.69,22.51,-10.45,-638.72,-4.76,-8.35,-4.46,0.0,0.0,1.0679245817141312,19.88,7.45,1.77,1.12,1.12,1.65,3.5,29.0,0.0,1,0,0,0
(주)신화에스티,81422,2022,3.36,5.91,1.97,3.22,71.32,53.61,141.5,114.18,33.37,-13.56,19.89,33.72,41.41,-1.93,-0.88,-1.32,1.19,1.02,1.65,1.2,-10.84,2.184889744649823,2.18,-0.61,3.67,-12.42,-0.65,1498.98,6.84,12.05,11.16,-11.83,40.7,0.6123110355541862,6.15,2.09,1.08,0.67,0.62,0.94,1.81,29.0,0.0,1,0,0,0
(주)신화종합건설,39960,2022,57.43,302.97,18.12,14.45,287.43,278.51,46.08,45.57,5.98,58.47,1.1,89.67,68.46,14.65,11.27,7.45,13.36,12.61,8.94,-0.39,-3.110000000000001,28.344282148600985,28.34,33.18,-2.42,24.19,48.41,8037.55,13.84,2457.41,11.04,67.49,83.62,1.2538282712759536,4.84,1.66,265.96,1.51,1.41,11.99,1.6,33.0,0.0,1,0,0,0
(주)신흥건설,61370,2022,-17.91,-58.52,-7.86,-7.06,221.98,184.35,78.25,68.51,13.44,46.88,1.53,85.32,56.1,0.47,0.28,0.24,4.81,4.14,3.71,-0.33,-2.14,0.5891004814508295,0.59,-1.35,13.54,-11.49,11.17,2271.23,4.92,94.1,4.42,5.36,32.41,1.1129251535435,2.37,1.46,22.42,1.2,1.12,8.06,1.3,30.0,0.0,1,0,0,0
(주)싸이더스,12682,2019,1.99,2.76,0.91,2.59,143.76,107.11,83.79,72.4,32.95,17.24,46.49,56.63,54.41,-2.1,-1.58,-3.29,-0.22,-0.46,-1.28,4.66,9.51,3.571475497000534,3.57,-14.22,42.03,-71.62,552.06,1547.1,11.75,154.66,33.5,-9.83,47.66,0.3508135613434635,4.58,0.73,8.01,0.48,0.36,0.95,0.57,29.0,0.0,1,0,0,0
(주)썬앤쉴드,98592,2022,-9.07,-14.05,-5.65,-4.01,118.3,30.96,165.32,96.14,40.23,6.63,12.57,42.87,37.69,7.24,2.79,1.88,5.45,5.44,3.7,0.88,-6.199999999999999,9.424732256588104,9.42,8.72,9.96,15.7,6.89,2001.07,11.91,22.74,8.46,22.21,48.6,1.4082600085868,18.05,11.11,2.7,1.49,1.47,2.58,3.42,23.0,0.0,1,0,0,0
(주)쎄븐,48964,2022,-8.32,-8.87,-6.42,-3.06,101.8,81.39,337.99,272.89,72.41,1.12,10.2,63.43,22.83,52.32,12.57,4.97,2.72,2.48,1.0,0.88,48.52,45.761210974700255,45.76,68.21,18.36,45.03,20.59,6479.39,15.94,44.72,7.6,65.37,96.3,2.0976288513564274,10.65,5.07,6.43,2.53,2.49,6.22,4.15,24.0,0.0,1,0,0,0
(주)쓰리에스씨앤에프,97993,2022,-10.38,-158.42,-8.29,-92.11,154.24,36.1,396.55,291.94,5.23,31.89,17.31,90.68,20.14,-77.78,-33.46,-284.71,-23.76,-23.94,-230.04,12.56,-64.82,36.87103882856346,36.87,78.46,-58.12,-91.14,-92.61,-591.24,-3.56,-364.01,-39.57,0.0,0.0,0.0900348289692414,2.3,0.25,1.27,0.12,0.1,0.57,0.13,19.0,0.0,1,0,0,0
(주)씨씨컴퍼니,99879,2022,-1.51,-1.55,-1.29,-10.06,4.03,1.68,602.24,526.65,83.46,-71.98,0.09,3.02,14.24,-6.01,-0.91,-6.97,2.03,2.0,15.53,22.27,-97.63,0.955176677052012,0.96,62.77,-0.22,11.19,0.06,2295.15,3.98,4.16,30.93,-22.54,79.7,0.128507698999336,12.38,9.5,0.13,0.13,0.13,0.13,5.27,14.0,0.0,1,0,0,0
(주)씨앗,56444,2014,-0.76,-0.94,-0.7,-1.02,77.3,49.63,1067.33,734.13,74.4,-14.27,4.11,48.61,8.57,3.75,0.85,1.32,4.05,4.03,6.34,4.51,3.71,-12.78750566037243,-12.79,12.97,-28.26,36.03,-4.85,3013.79,11.57,26.87,16.95,7.82,62.3,0.6826858473019296,3.46,2.62,1.55,0.64,0.64,1.11,1.49,18.0,0.0,1,0,0,0
(주)씨앤씨유통,84630,2022,-0.38,-0.53,-0.31,-0.1,73.83,31.4,498.01,266.82,59.91,-11.68,18.95,32.94,16.72,-6.39,-1.11,-0.37,1.11,1.1,0.36,0.7,-7.81,-5.541038952761445,-5.54,-11.29,-2.44,5.72,-5.35,8299.3,32.71,67.15,10.52,-3.49,38.76,3.1082484943590565,73.7,19.43,6.2,3.02,3.02,4.58,8.87,10.0,0.0,1,0,0,0
(주)씨제이스틸,77138,2022,4.78,6.58,3.87,1.12,76.45,32.65,425.04,329.68,58.87,-14.79,3.23,48.01,19.05,32.63,5.0,1.33,9.94,9.45,2.52,0.81,-100.98000000000002,17.832112669138954,17.83,15.46,20.11,6.44,23.99,3336.07,14.98,33.49,4.32,30.78,71.2,3.4685091814179265,50.07,14.92,8.58,3.76,3.75,7.28,7.74,18.0,0.0,1,0,0,0
(주)씨케이에프푸드시스템,78067,2022,-2.29,-3.07,-1.58,-0.84,115.66,80.13,222.97,140.01,51.44,6.79,6.66,50.14,30.96,-28.91,-11.14,-5.57,-2.29,-2.49,-1.35,0.77,-20.56,-3.5931919927146208,-3.59,19.39,-19.23,-1.29,-5.06,-1264.16,-3.95,-9.27,-2.11,0.0,0.0,1.8772398316391667,20.97,5.62,4.25,2.0,1.84,3.36,4.07,17.0,0.0,1,0,0,0
(주)씽크론,65051,2022,-3.79,-5.27,-1.77,-3.31,72.05,53.68,87.33,68.84,33.56,-10.27,7.21,26.48,53.38,-15.33,-8.78,-16.58,-6.06,-6.24,-11.89,1.99,-19.33,-3.5708588388133835,-3.57,-11.35,-0.43,-2.39,-1.62,1506.54,6.71,15.25,12.56,-132.03,-45.77,0.5344688665981151,6.69,2.6,1.2,0.53,0.52,0.73,1.9,24.0,0.0,1,0,0,0
(주)아뜨네,88037,2022,16.02,20.28,10.26,59.55,384.11,55.15,178.2,59.15,50.62,60.41,9.24,81.67,35.95,8.25,3.08,16.52,5.85,5.41,29.62,8.55,-27.770000000000003,12.71976468948007,12.72,58.06,-50.52,-60.9,-50.58,1295.63,6.22,34.03,36.07,45.8,87.48,0.1723519464276195,287.39,1.1,0.62,0.19,0.18,0.62,0.26,18.0,0.0,1,0,0,0
(주)아로마무역,73211,2022,-13.56,-15.87,-6.38,-19.25,148.61,80.24,88.77,82.17,40.19,21.16,26.89,64.69,52.97,-18.48,-12.06,-32.57,2.25,2.02,6.26,3.88,-27.51,-4.94214291879876,-4.94,-8.04,1.32,-40.32,-1.97,1147.24,2.31,12.65,6.98,-466.72,-267.7,0.3312228336199254,15.16,0.8,1.79,0.37,0.32,0.94,0.49,14.0,0.0,1,0,0,0
(주)아베스포츠,43287,2022,-1.51,-2.1,-1.07,-0.69,123.31,20.43,240.5,196.43,50.82,13.45,0.3,71.13,29.37,7.05,2.12,1.3,3.78,3.67,2.29,1.12,2.0,8.286672021127849,8.29,5.14,16.91,4.5,-1.59,3608.72,21.37,104.12,13.84,9.36,35.02,1.5441198066044677,21.8,8.93,7.46,1.64,1.61,5.77,2.23,28.0,0.0,1,0,0,0
(주)아비즈,100595,2022,2.28,3.05,1.82,1.18,116.32,72.35,389.99,145.49,59.52,4.84,26.58,34.54,20.41,5.19,1.08,0.67,2.0,1.94,1.22,1.04,-9.15,5.600883166913487,5.6,15.35,1.09,20.24,-2.05,1606.8,10.43,17.04,6.76,9.9,58.69,1.54256020241316,28.12,6.89,2.49,1.62,1.58,2.37,4.78,15.0,0.0,1,0,0,0
(주)아이뱅크,94899,2022,2.39,3.88,1.58,1.31,555.87,307.19,193.75,47.06,40.66,73.03,52.29,89.05,34.04,27.6,10.34,7.16,11.88,11.59,8.36,-0.16,-15.4,35.25392656732416,35.25,27.6,163.93,22.96,1.77,3950.79,19.84,719.17,16.44,43.54,56.81,1.206677674040583,6.73,2.62,44.12,1.44,1.39,15.98,1.52,26.0,0.0,1,0,0,0
(주)아이베,86878,2022,-1.01,-1.23,-0.78,-0.75,132.33,41.33,338.95,151.19,63.07,11.14,14.14,45.58,22.78,38.63,10.01,7.13,13.73,13.7,9.77,1.41,-25.96,109.811410011834,109.81,143.26,88.15,24.31,89.18,8025.77,15.8,29.37,15.27,46.69,69.11,1.0347384101971844,18.42,9.77,2.52,1.4,1.4,2.48,3.22,19.0,0.0,1,0,0,0
(주)아이브이신라,81213,2022,-7.15,-8.15,-5.34,-768.32,135.24,10.54,295.25,291.53,65.52,25.99,0.27,99.75,25.3,-14.69,-4.33,-577.02,-2.81,-2.82,-376.32,294.9953826059753,-34.48,16.945317546640617,16.95,16.91,34.86,-98.12,-29.03,10.27,0.01,21.15,1.19,-3386.3826111398303,-1458.193536055574,0.0069537135981116,1.11,0.07,14.76,0.01,0.01,3.2,0.01,8.0,0.0,1,0,0,0
(주)아이비젼웍스,94243,2022,-2.52,-9.41,-2.15,-2.15,107.14,95.72,579.1,472.66,22.81,4.97,29.38,74.57,14.73,16.63,2.43,2.2,11.08,10.88,10.35,2.5,0.7499999999999982,11.636134171390207,11.64,13.11,7.53,49.39,5.28,1704.35,9.44,38.7,9.48,23.17,59.77,0.9960011154421712,6.57,1.71,4.19,1.11,1.05,4.06,1.42,9.0,0.0,1,0,0,0
(주)아이씨푸드,91565,2022,-4.51,-5.16,-2.25,-2.11,75.06,52.15,99.64,92.12,43.6,-11.51,8.26,34.63,50.09,2.61,2.05,1.22,2.52,2.03,1.81,0.7,-7.59,10.750851565541504,10.75,27.8,3.44,32.4,1.92,3796.88,12.16,39.85,11.43,10.64,37.26,1.0643192370070491,7.3,4.89,3.5,1.69,1.12,1.66,3.45,25.0,0.0,1,0,0,0
(주)아이앤씨,84919,2022,52.73,76.65,32.46,149.6,163.48,101.79,160.16,155.99,42.36,38.06,1.19,98.02,38.44,-25.78,-11.02,-53.15,-7.12,-7.36,-35.48,4.21,-56.44,-8.451004062886938,-8.45,-8.85,17.17,-88.49,138.98,230.89,1.86,1949.21,8.58,-619.71,-337.81,0.2170002978237906,0.0,0.36,320.46,0.21,0.21,11.8,0.21,8.0,0.0,1,0,0,0
(주)아이에스티,99316,2022,1.06,1.49,0.83,1.03,158.72,120.09,353.94,96.71,55.52,12.51,26.72,33.82,22.03,-40.37,-10.87,-13.88,-8.26,-8.3,-10.61,2.45,-84.8,-4.841984142055124,-4.84,-17.93,3.6,-18.29,0.51,3117.42,18.48,32.26,23.02,-60.28,-32.28,0.8028766693341469,6.42,2.55,1.41,0.78,0.78,1.23,2.14,25.0,0.0,1,0,0,0
(주)아이엠텍,57900,2022,-6.32,-33.69,-6.49,-10.9,33.26,33.26,0.0,0.0,19.26,-70.87,1.65,35.32,0.0,0.0,-23.79,-30.99,-17.94,-17.98,-33.05,10.36,-396.06503543551526,-13.811360640201851,-15.81,-47.04,24.17,-49.3,-98.22673634024834,1793.77,11.42,2997.28,19.19,-161.46,-14.72,0.7620821692273887,9.56,1.23,2.5,0.77,0.54,1.02,1.17,24.0,0.0,1,0,0,0
(주)아이엠티,81158,2022,1.99,2.48,1.55,1.82,86.49,86.49,345.7,235.52,62.2,-7.14,2.22,45.71,22.44,-7.26,-1.98,-2.0,0.44,0.32,0.37,2.74,-8.3,2.148752267140102,2.15,2.51,1.84,-6.01,-2.57,1362.14,8.94,23.5,10.5,-19.06,22.46,0.8513481422158639,2.59,1.89,2.21,0.99,0.86,1.58,1.89,24.0,0.0,1,0,0,0
(주)아이온커뮤니케이션즈,53485,2022,0.59,8.49,0.15,0.24,330.92,330.92,33.23,33.23,1.74,57.6,48.25,82.54,75.06,4.86,3.99,5.77,-0.06,-0.66,-1.03,-0.84,-13.71,7.662411378467129,7.66,3.88,30.03,-40.51,-33.98,2071.9,12.0,3025.38,19.46,29.67,71.36,0.6164498901820094,1.72,0.76,123.64,0.69,0.64,3.99,0.76,25.0,0.0,1,0,0,0
(주)아이피씨,39230,2022,-3.36,-4.93,-2.07,-3.37,56.49,42.31,160.23,134.88,41.95,-22.55,7.46,29.28,38.43,-19.46,-8.3,-13.71,-6.55,-6.59,-10.95,1.99,-7.090000000000002,-3.894647099368828,-3.89,-10.55,-0.84,3.83,1.03,114.44,0.27,0.38,0.43,-3152.03,-1458.193536055574,0.6137604303178201,3.47,2.69,0.88,0.61,0.6,0.86,1.98,42.0,0.0,1,0,0,0
(주)아임삭,60657,2022,12.82,19.77,1.92,3.47,454.51,268.87,17.59,16.27,9.7,49.04,12.5,62.87,85.04,9.36,8.27,13.75,9.83,9.12,15.42,-0.88,-1.08,15.005950212191053,15.01,20.67,6.54,4.49,6.74,11275.81,14.69,43.52,26.56,51.76,73.77,0.5530976200096074,17.05,1.53,1.58,0.6,0.59,1.54,0.96,29.0,0.0,1,0,0,0
(주)아임유,100030,2022,5.99,7.86,1.45,1.07,796.45,570.7,32.04,12.23,18.47,64.51,39.5,73.77,75.74,28.9,16.4,10.1,19.02,18.4,11.36,0.22,5.289999999999999,48.22226048999008,48.22,81.97,-2.6,39.82,1.0,7533.62,32.89,135.56,24.25,41.65,53.1,1.356202456593959,13.58,3.75,5.55,1.62,1.62,5.1,2.37,14.0,0.0,1,0,0,0
(주)아크,98232,2022,-23.56,-31.01,-9.95,-14.65,267.23,176.04,73.09,34.28,32.07,33.12,28.67,52.92,57.77,2.44,1.45,2.05,1.32,1.05,1.51,1.04,18.19,4.810870662318,4.81,6.31,3.17,46.49,0.4,2929.17,14.03,36.87,20.67,9.92,69.47,0.678966906880992,4.4,1.91,1.77,0.71,0.69,1.46,1.32,8.0,0.0,1,0,0,0
(주)알루앤텍,94432,2022,2.64,3.33,1.99,0.98,88.07,36.27,304.54,202.26,59.64,-5.96,16.46,44.03,24.72,21.37,5.54,2.35,7.32,7.22,3.1,0.74,-0.7199999999999989,34.36440274189121,34.36,59.88,19.37,45.14,19.5,3052.52,12.46,23.37,6.13,38.31,88.7,2.0304076248981286,47.83,13.01,4.15,2.36,2.33,3.95,5.67,11.0,0.0,1,0,0,0
(주)알루이엔씨,45769,2022,-1.5,-4.53,-0.75,-0.39,178.92,149.58,98.92,93.66,16.44,37.16,15.38,84.24,50.27,5.52,3.01,1.42,5.27,4.89,2.52,0.18,-2.29,4.609205195172839,4.61,6.71,-5.37,-9.67,3.58,3901.49,8.46,204.76,4.46,31.91,67.5,1.8979153112982,3.33,2.85,44.9,2.12,1.94,11.71,2.33,23.0,0.0,1,0,0,0
(주)알파플러스,80612,2022,-107.12,-173.99,-17.03,-58.6,342.01,257.98,18.9,14.05,9.79,28.6,192.0,40.42,84.1,-20.47,-20.03,-63.99,-18.18,-18.31,-66.04,0.6,-37.02,-11.553192846361174,-8.72,-38.71,36.6,-65.36,22.63,-1262.96,-6.54,-15.92,-22.5,0.0,0.0,0.3486913347252874,18.15,0.64,0.73,0.31,0.28,0.56,0.55,24.0,0.0,1,0,0,0
(주)애니원에프앤씨,89014,2022,-7.95,-9.7,-4.78,-6.64,132.81,110.51,150.36,108.83,49.22,14.26,19.87,57.73,39.94,6.31,2.67,3.02,5.23,5.03,6.39,1.73,-1.6800000000000006,20.56788453335872,20.57,41.03,0.63,-5.33,-2.97,10620.45,23.92,80.76,33.24,9.07,35.64,0.7197694811738325,2.34,1.76,2.39,0.89,0.79,1.71,1.46,21.0,0.0,1,0,0,0
(주)애드씨케이,69853,2022,12.73,18.63,6.64,7.27,192.71,192.71,109.01,96.09,35.64,42.62,18.0,88.6,47.85,4.25,2.14,2.18,3.88,1.74,1.86,-0.83,-7.49,4.956627192250709,4.96,5.94,-2.08,-37.16,-2.52,995.66,4.47,78.46,4.89,44.51,55.45,0.9133915885258423,5.08,1.06,13.56,0.98,0.94,7.93,1.06,23.0,0.0,1,0,0,0
(주)야긴스텍,66652,2014,2.52,3.34,1.74,1.2,117.8,117.8,222.98,142.24,52.03,7.84,20.51,51.88,30.96,11.58,3.98,2.31,7.17,6.99,4.32,1.81,4.36,26.38041131469221,26.38,66.49,0.32,7.52,-20.35,4956.26,31.43,483.42,21.72,10.62,42.85,1.4466498021335348,4.95,3.48,19.73,1.72,1.62,3.01,3.48,18.0,0.0,1,0,0,0
(주)얌샘,98747,2022,-2.02,-2.44,-1.8,-0.94,27.98,21.6,821.98,761.3,73.88,-59.47,7.14,23.11,10.85,-8.9,-1.31,-0.54,1.44,1.22,0.64,0.84,-31.69,-2.8292794369304253,-2.83,-44.17,24.98,-2.44,23.89,2407.38,25.47,70.45,13.26,-4.05,29.2,1.9212687588542807,219.6,7.06,3.32,2.44,1.89,2.78,5.96,18.0,0.0,1,0,0,0
(주)양산아이시디,16296,2022,0.09,0.0,0.08,0.41,44.35,44.35,1861.15,257.71,0.0,-7.31,7.42,5.83,5.1,1.41,0.07,0.35,0.06,-0.08,-0.43,-0.72,-1.97,-11.52088984070572,-11.52,-1.41,-12.08,8.99,-12.13,8154.08,15.24,16.3,74.99,0.47,84.36,0.203208657086989,0.0,3.46,0.2,0.19,0.19,0.2,3.46,32.0,0.0,1,0,0,0
